Name,Age,Overall,Nationality,Club,Value,Wage,Preferred Foot,Jersey Number,Position
A. Jackson-Hamel,24,65,Canada,Montreal Impact,€725K,€2K,Right,11.0,ST
Paulito Zanon,26,65,Brazil,Paraná,€475K,€5K,Right,16.0,CDM
L. Amos,21,65,England,Tottenham Hotspur,€1.2M,€13K,Left,40.0,CM
S. Gomez,22,65,Colombia,Itagüí Leones FC,€850K,€1K,Left,19.0,LDM
Omar Santana,27,65,Spain,Miedź Legnica,€575K,€1K,Right,14.0,CAM
Y. M'Bone,25,65,Cameroon,La Berrichonne de Châteauroux,€600K,€2K,Right,3.0,LCB
Salva Ruíz,23,65,Spain,RCD Mallorca,€600K,€2K,Left,17.0,LB
J. Deschamps,34,65,Chile,Curicó Unido,€220K,€1K,Right,1.0,GK
F. Feuillassier,20,65,Argentina,Real Madrid,€1.2M,€23K,Right,34.0,LW
P. Haglund,31,65,Sweden,IK Sirius,€475K,€1K,Right,23.0,CAM
Henrique,33,65,Brazil,Brisbane Roar,€325K,€2K,Right,33.0,LW
K. Hemmings,26,65,England,Notts County,€650K,€6K,Right,15.0,ST
P. Jerez,31,65,Chile,Club Deportes Temuco,€350K,€1K,Right,26.0,RB
W. Ponce,20,65,Chile,CD Universidad de Concepción,€1.1M,€1K,Right,25.0,ST
K. Ford,22,65,United States,Colorado Rapids,€725K,€2K,Right,24.0,CB
R. Grzyb,35,65,Poland,Jagiellonia Białystok,€130K,€2K,Right,22.0,CDM
G. Gunning,27,65,Republic of Ireland,Forest Green Rovers,€450K,€4K,Left,16.0,CB
I. Šehić,29,65,Bosnia Herzegovina,BB Erzurumspor,€425K,€3K,Right,13.0,GK
B. Potts,23,65,England,Barnsley,€725K,€3K,Right,20.0,RM
A. Hughes,38,65,Northern Ireland,Heart of Midlothian,€70K,€2K,Right,16.0,CB
J. Steer,25,65,England,Charlton Athletic,€525K,€4K,Left,21.0,GK
K. Sharahili,31,65,Saudi Arabia,Al Faisaly,€325K,€5K,Left,31.0,GK
J. Hamilton,22,65,Canada,Toronto FC,€775K,€2K,Left,22.0,ST
J. Reimerink,28,65,Netherlands,VfL Sportfreunde Lotte,€550K,€1K,Right,8.0,LM
C. Woodrow,23,65,England,Barnsley,€775K,€12K,Right,25.0,RS
D. Georgievski,30,65,FYR Macedonia,Newcastle Jets,€400K,€1K,Right,17.0,RB
L. Escalante,26,65,Colombia,Junior FC,€575K,€1K,Right,34.0,LM
K. Davis,20,65,England,Aston Villa,€950K,€4K,Right,17.0,ST
V. Morales,27,65,Chile,Unión La Calera,€525K,€1K,Right,20.0,CB
M. Omoh,26,65,Nigeria,Örebro SK,€575K,€2K,Right,29.0,RW
N. Guerra,19,65,Chile,Universidad de Chile,€1M,€2K,Right,26.0,ST
P. Schürpf,28,65,Switzerland,FC Luzern,€550K,€4K,Left,11.0,LM
C. Davies,32,65,Wales,Mansfield Town,€425K,€6K,Right,9.0,ST
A. Keita,31,65,Guinea,Östersunds FK,€325K,€1K,Right,1.0,GK
I. Erquiaga,20,65,Argentina,Estudiantes de La Plata,€750K,€3K,Left,3.0,LB
M. Abena,23,65,Suriname,De Graafschap,€575K,€2K,Right,12.0,RB
Ham Seok Min,24,65,Korea Republic,Gangwon FC,€550K,€1K,Right,16.0,GK
D. Wheeler,27,65,England,Portsmouth,€575K,€3K,Right,22.0,RM
Fran García,25,65,Spain,Albacete BP,€550K,€2K,Left,3.0,LB
S. Sané,25,65,Germany,Karlsruher SC,€675K,€3K,Right,14.0,ST
M. Solís,35,65,Colombia,Independiente Santa Fe,€130K,€1K,Right,18.0,GK
F. Pick,22,65,Germany,1. FC Kaiserslautern,€800K,€2K,Right,11.0,RM
D. Merelli,22,65,Italy,Padova,€550K,€1K,Left,22.0,GK
Zhang Lie,36,65,China PR,Beijing Renhe FC,€70K,€2K,Right,12.0,GK
E. Šipović,27,65,Bosnia Herzegovina,Ohod Club,€500K,€5K,Right,3.0,RCB
R. Miyaichi,25,65,Japan,FC St. Pauli,€675K,€5K,Right,12.0,RM
L. Burnet,27,65,Netherlands,Excelsior,€450K,€2K,Left,28.0,LB
C. Bickel,27,65,Germany,FSV Zwickau,€575K,€1K,Right,10.0,RM
J. McCarthy,25,65,United States,Philadelphia Union,€525K,€2K,Right,1.0,GK
T. Dekker,20,65,Netherlands,VVV-Venlo,€650K,€2K,Right,17.0,RB
S. Niakaté,18,65,France,Valenciennes FC,€1M,€2K,Left,4.0,CB
D. Marcandella,21,65,Italy,Padova,€850K,€1K,Right,21.0,CAM
Park Won Jae,34,65,Korea Republic,Jeonbuk Hyundai Motors,€150K,€3K,Left,19.0,LB
N. Ioannidis,24,65,Greece,Clube Sport Marítimo,€700K,€3K,Right,89.0,ST
A. Barylla,21,65,Germany,FSV Zwickau,€675K,€1K,Right,16.0,RCB
J. González,26,65,Paraguay,Defensa y Justicia,€575K,€3K,Right,4.0,CB
G. Treand,32,65,France,Neuchâtel Xamax,€425K,€2K,Right,17.0,LM
E. Markkanen,26,65,Finland,Dalkurd FF,€650K,€2K,Left,9.0,LS
A. McCormack,34,65,Republic of Ireland,Luton Town,€160K,€3K,Right,4.0,CDM
M. Firenze,25,65,Italy,Crotone,€650K,€1K,Right,7.0,RDM
I. Maela,25,65,South Africa,Orlando Pirates,€550K,€1K,Left,3.0,LB
L. Romo,23,65,Mexico,Querétaro,€675K,€2K,Right,3.0,LCB
Peng Xinli,26,65,China PR,Chongqing Dangdai Lifan FC SWM Team,€625K,€3K,Left,10.0,RDM
J. Zwischenbrugger,28,65,Austria,SCR Altach,€450K,€4K,Right,18.0,CB
R. Taylor,23,65,Finland,Tromsø IL,€750K,€1K,Right,11.0,RM
O. Clarke,26,65,England,Bristol Rovers,€575K,€3K,Right,8.0,RCM
C. Cropper,25,65,United States,New England Revolution,€500K,€2K,Right,1.0,GK
B. Garuccio,23,65,Australia,Heart of Midlothian,€650K,€2K,Left,17.0,LB
M. Fofana,20,65,Mali,FC Metz,€1.1M,€1K,Right,6.0,CDM
F. Beltrán,20,65,Mexico,Guadalajara,€875K,€7K,Right,88.0,CM
J. Carranza,18,65,Argentina,Club Atlético Banfield,€1.1M,€2K,Right,21.0,ST
J. Arias,23,65,Curacao,FC Emmen,€725K,€2K,Right,25.0,ST
D. Bergqvist,25,65,Sweden,Östersunds FK,€600K,€2K,Right,6.0,CM
J. Clarke-Harris,23,65,England,Coventry City,€725K,€3K,Left,18.0,RS
Juan Cámara,24,65,Spain,Miedź Legnica,€725K,€1K,Left,11.0,LM
H. Da Campo,23,65,Argentina,San Martín de San Juan,€750K,€4K,Right,21.0,LM
R. Scheu,23,65,Germany,SC Fortuna Köln,€750K,€1K,Right,20.0,RM
G. Bigirimana,24,65,England,Motherwell,€700K,€2K,Right,17.0,RCM
E. Hajri,35,65,Tunisia,MSV Duisburg,€120K,€2K,Right,3.0,RB
M. Langer,33,65,Austria,FC Schalke 04,€270K,€5K,Right,34.0,GK
G. Allison,27,65,Mexico,Cruz Azul,€425K,€5K,Right,12.0,GK
S. Walker,26,65,England,Reading,€475K,€6K,Right,28.0,GK
L. Olum,33,65,Kenya,Portland Timbers,€220K,€2K,Right,13.0,CB
C. Giraldo,38,65,Colombia,Deportivo Pasto,€70K,€1K,Right,8.0,LDM
G. Cros,23,65,France,FC Carl Zeiss Jena,€600K,€1K,Left,3.0,LB
Heo Yong Joon,25,65,Korea Republic,Jeonnam Dragons,€675K,€2K,Right,19.0,LW
A. Ouahim,20,65,Morocco,VfL Osnabrück,€925K,€1K,Right,10.0,CAM
K. Walker,28,65,Sweden,Djurgårdens IF,€525K,€2K,Right,8.0,CM
J. Benet,23,65,France,Grenoble Foot 38,€775K,€2K,Right,21.0,CM
L. Villarruel,27,65,Argentina,Defensa y Justicia,€500K,€3K,Right,15.0,CDM
T. Hadebe,22,65,Zimbabwe,Kaizer Chiefs,€750K,€1K,Left,20.0,CB
Patrick,24,65,Cape Verde,CD Tondela,€725K,€2K,Right,9.0,ST
C. Diedhiou,30,65,Senegal,Royal Excel Mouscron,€400K,€3K,Right,25.0,CB
L. Pérez,28,65,Italy,Cosenza,€550K,€1K,Right,9.0,ST
Sidnei Dalmeira,30,65,Brazil,Sport Club do Recife,€400K,€4K,Right,19.0,CB
Alfred,22,65,Spain,CF Reus Deportiu,€750K,€2K,Right,27.0,RM
Álvaro Bustos,23,65,Spain,CF Rayo Majadahonda,€750K,€3K,Left,22.0,LW
I. Azzaoui,20,65,Belgium,VfL Wolfsburg,€975K,€7K,Right,38.0,LM
Y. Marillat,23,65,France,AS Béziers,€525K,€1K,Right,40.0,GK
Fidalgo,21,65,Spain,Real Madrid,€875K,€20K,Right,36.0,CM
C. Togashi,24,65,Japan,FC Tokyo,€725K,€2K,Right,17.0,ST
Roger Figueras,21,65,Spain,Gimnàstic de Tarragona,€775K,€2K,Right,28.0,CB
Vítor Tormena,22,65,Brazil,Portimonense SC,€625K,€2K,Right,30.0,RB
S. Matuszek,29,65,Poland,Górnik Zabrze,€425K,€2K,Right,22.0,RCM
E. Tønne,27,65,Norway,Ranheim Fotball,€575K,€1K,Left,15.0,LW
B. Samba,24,65,France,Stade Malherbe Caen,€500K,€4K,Left,30.0,GK
M. Aaquist,23,65,Denmark,Randers FC,€750K,€4K,Right,10.0,CAM
Rúben Lameiras,23,65,Portugal,Plymouth Argyle,€750K,€3K,Left,11.0,RM
A. Hinestroza,29,65,Colombia,Jaguares de Córdoba,€425K,€1K,Right,27.0,LDM
J. Hingert,27,65,Australia,Brisbane Roar,€450K,€2K,Right,19.0,RB
P. Drewes,25,65,Germany,FC Würzburger Kickers,€525K,€2K,Right,21.0,GK
S. Peszko,33,65,Poland,Lechia Gdańsk,€325K,€3K,Right,21.0,LM
D. Petković,25,65,Montenegro,FC Lorient,€475K,€2K,Right,30.0,GK
Wang Xiaolong,32,65,China PR,Tianjin Quanjian FC,€425K,€6K,Left,19.0,RW
E. Pezzi,28,65,Italy,Carpi,€425K,€1K,Right,5.0,LB
O. Hein,28,65,Germany, SSV Jahn Regensburg,€425K,€3K,Right,17.0,RB
E. Serje,22,65,Colombia,Junior FC,€650K,€1K,Right,28.0,CDM
M. Biankadi,23,65,Congo,FC Hansa Rostock,€750K,€1K,Right,17.0,LM
L. Miller,35,65,Scotland,Livingston FC,€250K,€2K,Right,18.0,ST
J. Müller,28,65,Germany,SpVgg Unterhaching,€550K,€2K,Right,13.0,RM
C. Alkılıç,30,65,Turkey,Alanyaspor,€400K,€4K,Right,99.0,RB
M. Kleinsorge,22,65,Germany,SV Meppen,€725K,€1K,Right,20.0,RM
M. Dávila,26,65,Chile,Unión Española,€625K,€1K,Left,14.0,LDM
K. Vincent-Young,22,65,England,Colchester United,€700K,€3K,Right,22.0,LB
L. Rajot,20,65,France,Clermont Foot 63,€775K,€1K,Right,8.0,CDM
M. Amini,25,65,Australia,Aarhus GF,€700K,€4K,Right,6.0,CM
J. Ring,26,65,Sweden,Djurgårdens IF,€575K,€2K,Left,11.0,RM
C. Palomeque,24,65,Colombia,Alianza Petrolera,€675K,€1K,Left,11.0,LM
T. Rehfeldt,24,65,Germany,VfR Aalen,€600K,€1K,Right,33.0,CB
R. Gojani,25,65,Sweden,IF Elfsborg,€675K,€2K,Right,16.0,CM
I. Traoré,29,65,Ivory Coast,SK Slavia Praha,€525K,€1K,Right,27.0,CAM
F. Sánchez,33,65,Chile,Unión La Calera,€210K,€1K,Right,7.0,LB
S. Torrizales,26,65,Paraguay,,€0,€0,Right,23.0,CM
J. Leiva,24,65,Chile,Audax Italiano,€675K,€2K,Left,16.0,LW
T. Röttger,32,65,Germany,SG Sonnenhof Großaspach,€425K,€2K,Right,18.0,ST
A. Duarte,24,65,Peru,Lobos BUAP,€525K,€2K,Right,23.0,GK
K. Ceesay,30,65,Gambia,Dalkurd FF,€400K,€1K,Right,3.0,RB
L. Königshofer,29,65,Austria,SpVgg Unterhaching,€375K,€1K,Right,1.0,GK
L. Hoyos,29,65,Argentina,Vélez Sarsfield,€450K,€3K,Right,12.0,GK
J. Murillo,25,65,Ecuador,Estudiantes de La Plata,€650K,€4K,Left,25.0,LM
Luís Maximiano,19,65,Portugal,Sporting CP,€950K,€1K,Right,81.0,GK
Han Peng,34,65,China PR,Beijing Renhe FC,€280K,€4K,Right,9.0,ST
J. Derstroff,26,65,Germany, SSV Jahn Regensburg,€625K,€3K,Left,10.0,LM
H. Bjørdal,21,65,Norway,SV Zulte-Waregem,€850K,€3K,Right,20.0,RM
H. Skogseid,30,65,Norway,Stabæk Fotball,€400K,€1K,Right,6.0,RB
A. Hadžiahmetović,21,65,Bosnia Herzegovina,Atiker Konyaspor,€1M,€3K,Right,18.0,LM
J. Balkovec,23,65,Slovenia,Hellas Verona,€625K,€1K,Left,3.0,LB
J. Jones,29,65,England,Wigan Athletic,€375K,€10K,Right,23.0,GK
P. Sohm,26,65,Germany,Hallescher FC,€650K,€2K,Right,9.0,LS
B. Figueroa,19,65,Mexico,U.N.A.M.,€850K,€3K,Right,14.0,LM
M. Lorentzson,33,65,Sweden,Örebro SK,€220K,€2K,Right,15.0,LCB
S. Al Duayyi,25,65,Saudi Arabia,Al Fateh,€550K,€6K,Right,66.0,CB
N. Mbemba,23,65,France,Stade de Reims,€625K,€4K,Right,26.0,CDM
J. Rhyner,22,65,Switzerland,Grasshopper Club Zürich,€850K,€3K,Right,3.0,CB
K. Wrzesiński,24,65,Poland,Zagłębie Sosnowiec,€675K,€1K,Right,77.0,LM
F. Porath,21,65,Germany,SpVgg Unterhaching,€800K,€3K,Right,7.0,LM
T. Rodríguez,22,65,Argentina,Unión La Calera,€875K,€4K,Right,21.0,RM
O. Mares,31,65,Mexico,Tiburones Rojos de Veracruz,€350K,€12K,Left,18.0,LB
M. Connolly,26,65,Republic of Ireland,Crawley Town,€575K,€3K,Right,6.0,LCB
P. Twumasi,24,65,Ghana,Deportivo Alavés,€750K,€6K,Right,24.0,RW
S. Al Sawadi,25,65,Saudi Arabia,Al Raed,€675K,€5K,Right,49.0,CAM
Lee Ki Je,26,65,Korea Republic,Suwon Samsung Bluewings,€525K,€2K,Left,23.0,LM
T. Al Absi,25,65,Saudi Arabia,Al Taawoun,€600K,€5K,Right,5.0,LCB
D. Torres,25,65,Chile,CD Palestino,€550K,€1K,Left,6.0,LB
Ding Haifeng,26,65,China PR,Guangzhou R&F; FC,€525K,€4K,Left,11.0,LB
E. Pernía,23,65,Venezuela,Deportes Iquique,€775K,€1K,Right,16.0,ST
L. Coyle,22,65,England,Fleetwood Town,€700K,€8K,Right,2.0,RB
S. Silva,28,65,Sweden,AIK,€550K,€3K,Right,11.0,ST
S. Gnaka,19,65,Ivory Coast,KAS Eupen,€900K,€1K,Left,24.0,LB
Y. Bourhane,19,65,France,Chamois Niortais Football Club,€825K,€1K,Left,24.0,LDM
J. Stockley,24,65,England,Exeter City,€700K,€4K,Right,11.0,RS
I. Vásquez,32,65,Chile,Audax Italiano,€400K,€2K,Right,19.0,RCM
M. De Iriondo,25,65,Argentina,Unión de Santa Fe,€600K,€4K,Right,23.0,CDM
M. Damsgaard,17,65,Denmark,FC Nordsjælland,€1.1M,€2K,Right,27.0,RCM
Kaká,27,65,Brazil,CD Nacional,€575K,€3K,Right,88.0,CAM
M. Blair,29,65,England,Doncaster Rovers,€525K,€3K,Right,17.0,RM
J. Petriccione,23,65,Italy,Lecce,€725K,€1K,Right,4.0,RCM
J. Sambenito,26,65,Paraguay,,€0,€0,Right,21.0,ST
C. Schoissengeyr,23,65,Austria,FK Austria Wien,€600K,€4K,Right,18.0,CB
L. Perdomo,21,65,Argentina,Gimnasia y Esgrima La Plata,€775K,€3K,Right,38.0,CDM
M. Röser,27,65,Germany,Karlsruher SC,€575K,€2K,Right,11.0,LM
S. Roux,25,65,New Zealand,Melbourne Victory,€575K,€2K,Right,2.0,RB
Pol Valentín,21,65,Spain,Gimnàstic de Tarragona,€1.1M,€2K,Right,23.0,RB
Óscar Valentín,23,65,Spain,CF Rayo Majadahonda,€725K,€2K,Right,6.0,CDM
H. Ruíz,31,65,Mexico,Tiburones Rojos de Veracruz,€475K,€2K,Right,17.0,RDM
Kim Min Woo,28,65,Korea Republic,Sangju Sangmu FC,€550K,€3K,Left,13.0,CM
F. Kippe,40,65,Norway,Lillestrøm SK,€0,€1K,Left,13.0,LCB
J. Řezníček,30,65,Czech Republic,Viktoria Plzeň,€525K,€1K,Right,37.0,ST
A. Al Zaqan,27,65,Saudi Arabia,Al Ittihad,€575K,€7K,Right,25.0,RM
G. Acampora,24,65,Italy,Spezia,€750K,€1K,Left,29.0,CM
J. Alondro,30,65,Paraguay,,€0,€0,Left,5.0,LB
L. Ferguson,18,65,Scotland,Aberdeen,€1.1M,€1K,Right,19.0,CAM
R. Augustyniak,24,65,Poland,Miedź Legnica,€600K,€1K,Right,6.0,CDM
A. Cannon,22,65,England,Rochdale,€825K,€2K,Right,27.0,CM
C. Woods,31,65,England,Preston North End,€350K,€4K,Right,15.0,RB
E. Sabbi,20,65,United States,Hobro IK,€950K,€2K,Right,11.0,RS
D. McCrory,28,65,Republic of Ireland,Burton Albion,€425K,€3K,Left,14.0,LB
T. Öztürk,28,65,Germany,KFC Uerdingen 05,€450K,€2K,Right,26.0,LDM
De Los Reyes,26,65,Spain,UD Almería,€550K,€2K,Left,11.0,LB
O. García,25,65,Colombia,Jaguares de Córdoba,€650K,€1K,Right,14.0,LM
A. Batsula,26,65,Ukraine,KV Kortrijk,€525K,€4K,Left,29.0,CB
R. Kerschbaum,24,65,Austria,FC Wacker Innsbruck,€600K,€3K,Right,8.0,CDM
N. Bakker,25,65,Netherlands,FC Emmen,€575K,€2K,Left,4.0,LCB
Raphael Silva,26,65,Brazil,Boavista FC,€575K,€2K,Right,3.0,CB
L. Berry,25,65,England,Luton Town,€675K,€3K,Right,8.0,CM
Mauro Cerqueira,25,65,Portugal,CD Nacional,€550K,€3K,Left,5.0,LB
S. Bidaoui,28,65,Morocco,Spezia,€550K,€2K,Right,26.0,LW
Damià,22,65,Spain,RCD Espanyol,€625K,€5K,Right,34.0,CDM
H. Jele,31,65,South Africa,Orlando Pirates,€375K,€1K,Right,4.0,LCB
D. Jones,31,65,England,Notts County,€350K,€5K,Left,23.0,LB
G. Poussin,19,65,France,FC Girondins de Bordeaux,€950K,€2K,Right,16.0,GK
R. Edwards,24,65,England,Plymouth Argyle,€600K,€3K,Right,5.0,CB
B. Finne,23,65,Norway,Vålerenga Fotball,€750K,€1K,Right,11.0,LM
N. Varela,27,65,Uruguay,Wisła Płock,€575K,€2K,Right,7.0,RM
R. Tarifeño,21,65,Chile,Audax Italiano,€950K,€1K,Right,23.0,ST
Bruno Gomes,21,65,Brazil,CD Aves,€875K,€3K,Right,77.0,ST
M. Dombrowka,26,65,Germany,SpVgg Unterhaching,€525K,€2K,Right,8.0,LB
N. Mezquida,26,65,Uruguay,Vancouver Whitecaps FC,€650K,€2K,Right,11.0,CAM
M. Saadane,26,65,Morocco,Çaykur Rizespor,€550K,€4K,Right,17.0,LCB
M. Fink,28,65,Slovenia,Çaykur Rizespor,€425K,€4K,Right,27.0,RB
B. Diaby,20,65,Spain,Sporting Lokeren,€775K,€3K,Right,18.0,CB
C. Elder,23,65,Australia,Leicester City,€650K,€11K,Left,35.0,LB
R. Ledson,20,65,England,Preston North End,€950K,€3K,Right,18.0,CM
M. Udol,22,65,France,FC Metz,€700K,€2K,Left,3.0,LB
A. Al Mutairi,32,65,Saudi Arabia,Al Fayha,€425K,€5K,Right,10.0,LM
P. Tschernegg,25,65,Austria,FC St. Gallen,€600K,€4K,Right,26.0,CDM
J. Duque,27,65,Colombia,Boyacá Chicó FC,€500K,€1K,Left,7.0,LB
A. Katranis,20,65,Greece,Royal Excel Mouscron,€750K,€5K,Left,3.0,LB
Aloísio,20,65,Brazil,Clube Sport Marítimo,€775K,€2K,Right,97.0,CB
Evandro,30,65,Brazil,FC Seoul,€525K,€3K,Right,11.0,ST
G. Castillejos,32,65,Argentina,San Martín de San Juan,€425K,€4K,Right,20.0,ST
B. Renneke,25,65,Germany,VfL Osnabrück,€550K,€1K,Right,7.0,RB
K. van Veen,27,65,Netherlands,Northampton Town,€625K,€5K,Right,10.0,LS
N. Garmendia,20,65,Spain,Udinese,€925K,€5K,Right,61.0,CAM
M. Birighitti,27,65,Australia,Melbourne City FC,€425K,€3K,Right,1.0,GK
E. Alexander,30,65,United States,Houston Dynamo,€400K,€2K,Right,6.0,CDM
F. Palacios Martínez,23,65,Spain,1. FC Nürnberg,€750K,€6K,Right,21.0,ST
Luis Ruiz,26,65,Spain,CD Lugo,€550K,€2K,Left,15.0,LB
A. Hunter,22,65,England,Fleetwood Town,€800K,€3K,Right,22.0,LW
L. Owusu,21,65,Netherlands,De Graafschap,€675K,€2K,Right,44.0,RWB
J. Phojo,25,65,France,Clermont Foot 63,€525K,€2K,Right,23.0,RB
L. Rougeaux,24,65,France,KV Kortrijk,€575K,€3K,Right,6.0,RB
O. Fisher,26,65,Jamaica,DC United,€450K,€2K,Right,91.0,RB
A. Benchaib,20,65,Belgium,Sporting Lokeren,€925K,€3K,Right,28.0,CAM
F. Fydriszewski,25,65,Argentina,Newell's Old Boys,€725K,€5K,Right,9.0,ST
T. Ndenge,21,65,Germany,FC Luzern,€725K,€3K,Left,13.0,CDM
F. Flórez,25,65,Colombia,Alianza Petrolera,€650K,€1K,Right,18.0,CDM
G. Risso Patrón,22,65,Argentina,Atlético Tucumán,€700K,€3K,Left,33.0,LB
T. Parkes,26,65,England,Carlisle United,€475K,€3K,Left,6.0,CB
J. Untersee,24,65,Switzerland,Empoli,€750K,€17K,Right,27.0,RM
D. Gabriele,23,65,Germany,FC Wacker Innsbruck,€750K,€3K,Right,21.0,CAM
M. Mbaye,22,65,Senegal,Carpi,€775K,€4K,Right,24.0,LCM
S. Lovric,20,65,Austria,SK Sturm Graz,€850K,€4K,Right,8.0,RCM
C. Kerr,22,65,Scotland,Dundee FC,€675K,€2K,Right,2.0,RB
G. Zelalem,21,65,United States,Arsenal,€875K,€15K,Right,60.0,CM
Song Boxuan,28,65,China PR,Tianjin Quanjian FC,€550K,€6K,Left,30.0,LM
Ronan,23,65,Brazil,Rio Ave FC,€750K,€3K,Right,19.0,ST
A. Gruber,23,65,Austria,SV Mattersburg,€750K,€5K,Left,11.0,LW
T. Nowak,32,65,Poland,Zagłębie Sosnowiec,€425K,€2K,Left,6.0,CAM
S. Salviato,30,65,Italy,Padova,€400K,€1K,Right,33.0,RB
G. Aguirre,22,65,Mexico,Club Atlas,€675K,€4K,Right,5.0,CB
G. Rojas,21,65,Argentina,San Lorenzo de Almagro,€850K,€3K,Left,27.0,LB
I. Openda,18,65,Belgium,Club Brugge KV,€1.1M,€3K,Right,80.0,ST
R. Wallace,30,65,Costa Rica,New York City FC,€500K,€2K,Left,23.0,LW
J. Jervis,26,65,England,AFC Wimbledon,€650K,€3K,Right,10.0,ST
S. O'Neill,24,65,United States,Orlando City SC,€625K,€2K,Right,12.0,RCB
J. Butez,23,65,France,Royal Excel Mouscron,€550K,€2K,Right,33.0,GK
Raul Asencio,20,65,Spain,Benevento,€1.1M,€4K,Right,29.0,ST
T. Hołota,27,65,Poland,Pogoń Szczecin,€450K,€2K,Right,20.0,CDM
G. Paquiez,24,65,France,Nîmes Olympique,€575K,€4K,Left,15.0,RB
F. Costa,26,65,Argentina,San Martin de Tucumán,€575K,€3K,Left,11.0,LM
N. Aankour,24,65,Morocco,Arka Gdynia,€675K,€2K,Right,9.0,LM
Erik Expósito,22,65,Spain,Córdoba CF,€875K,€3K,Left,29.0,ST
J. Donisa,24,65,France,Red Star FC,€750K,€2K,Right,27.0,ST
Choi Kyu Baek,24,65,Korea Republic,V-Varen Nagasaki,€625K,€1K,Right,39.0,CB
M. Rojas,22,65,Paraguay,Defensa y Justicia,€775K,€3K,Left,26.0,RCM
Pedro Silva,21,65,Portugal,CD Tondela,€775K,€2K,Right,28.0,GK
M. Giannikoglou,25,65,Greece,AEK Athens,€500K,€1K,Right,40.0,GK
J. Hanson,22,65,England,Oxford United,€825K,€3K,Right,6.0,CDM
V. Demidov,31,65,Norway,Stabæk Fotball,€375K,€1K,Right,4.0,LCB
G. Rehak,25,65,Argentina,Independiente,€525K,€4K,Right,33.0,GK
K. Bare,20,65,Albania,Málaga CF,€850K,€2K,Right,35.0,CAM
Paulo Otávio,23,65,Brazil,FC Ingolstadt 04,€650K,€5K,Left,6.0,LB
N. Oroz,24,65,Argentina,CD O'Higgins,€725K,€5K,Left,8.0,RCM
A. Walongwa,24,65,Congo,FC Nantes,€550K,€5K,Right,26.0,CB
T. Moore,20,65,England,Plymouth Argyle,€650K,€2K,Right,22.0,RB
R. Yamanaka,25,65,Japan,Yokohama F. Marinos,€600K,€2K,Left,24.0,LB
E. Hamilton,19,65,Scotland,Manchester United,€1M,€11K,Left,48.0,CM
R. Salinas,31,65,Argentina,Vélez Sarsfield,€475K,€4K,Left,9.0,ST
S. Zwierschitz,27,65,Austria,FC Admira Wacker Mödling,€450K,€3K,Right,8.0,RB
J. Vickers,22,65,England,Lincoln City,€675K,€3K,Right,1.0,GK
C. Gribbin,19,65,England,Manchester United,€1.2M,€11K,Left,42.0,CAM
A. Stewart,25,65,England,Wycombe Wanderers,€575K,€2K,Right,5.0,CB
S. Tronstad,22,65,Norway,FK Haugesund,€675K,€1K,Right,8.0,RCM
A. Castro,31,65,Mexico,Santos Laguna,€375K,€5K,Right,20.0,CDM
C. Chaplin,21,65,England,Coventry City,€875K,€3K,Left,10.0,LS
D. O'Dea,31,65,Republic of Ireland,Dundee FC,€375K,€2K,Left,6.0,LCB
N. Bandiera,28,65,Argentina,Curicó Unido,€550K,€2K,Right,33.0,RM
A. Figueroa,30,65,Colombia,Millonarios FC,€400K,€1K,Right,2.0,LCB
J. Sternberg,25,65,Germany,1. FC Kaiserslautern,€550K,€2K,Left,3.0,LB
M. Blázquez,27,65,Chile,Deportes Iquique,€500K,€1K,Right,3.0,LCB
K. Grant,20,65,England,Charlton Athletic,€1.1M,€3K,Right,18.0,LS
A. Al Zain,26,65,Saudi Arabia,Al Qadisiyah,€575K,€9K,Right,49.0,RCM
Hwang Il Soo,30,65,Korea Republic,Ulsan Hyundai FC,€525K,€3K,Right,11.0,ST
T. Fountas,22,65,Greece,SKN St. Pölten,€725K,€4K,Right,9.0,ST
N. Quaschner,24,65,Germany,DSC Arminia Bielefeld,€700K,€4K,Right,18.0,LM
G. Sepúlveda,29,65,Chile,San Luis de Quillota,€425K,€1K,Right,17.0,CDM
R. Aponzá,29,65,Colombia,Jaguares de Córdoba,€525K,€1K,Right,16.0,CAM
Lei Tenglong,27,65,China PR,Beijing Sinobo Guoan FC,€525K,€4K,Right,30.0,LCB
S. Lo Faso,20,65,Italy,Palermo,€1.2M,€1K,Right,15.0,CF
João Reis,26,65,Portugal,CD Tondela,€550K,€2K,Left,17.0,LB
G. Nijholt,28,65,Netherlands,NAC Breda,€450K,€3K,Left,28.0,LCM
S. Conneely,29,65,Republic of Ireland,Accrington Stanley,€425K,€2K,Right,28.0,CDM
K. Conboy,30,65,Denmark,Randers FC,€400K,€3K,Left,17.0,LB
C. Nelson,25,65,England,Oxford United,€650K,€3K,Right,5.0,RCB
S. Brown,33,65,England,Port Vale,€270K,€3K,Right,1.0,GK
Kwak Hae Seong,26,65,Korea Republic,Incheon United FC,€525K,€2K,Right,26.0,RB
M. Caranta,39,65,Argentina,Club Atlético Talleres,€40K,€2K,Right,1.0,GK
D. Bassi,33,65,Italy,Spezia,€270K,€1K,Right,30.0,GK
J. Kempin,25,65,United States,Columbus Crew SC,€450K,€2K,Right,24.0,GK
Álvaro Traver,25,65,Spain,Real Sporting de Gijón,€675K,€3K,Right,21.0,LM
